price,year,mileage,tax,steering,condition,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,fuel consumption city/highway/combined,ecological,co2,engine capacity,boost type,cylinders,cylinder,compression,engine model,timing
2 450 000 ₽,2021,50 900 км,9 270 ₽ / год,Левый,Не требует ремонта,1 владелец,Toyota,2.5,206,Автомат,Бензиновый,АИ-95,Передний,8.7,6.8,Япония,D,5,4885,1840,1455,2825,145,"215/55 R17, 235/45 R18",60,nan,8,210,9.3/5.4/6.8,Euro 6,nan,2487,нет,4,4,13,A25A-FKS,DOHC
200 000 ₽,2002,290 000 км,2 900 ₽ / год,Левый,Не требует ремонта,3 или более,Kia,2.5,140,Механика,Дизельный,ДТ,Полный,14.6,8.5,Южная Корея,D,"5, 7",4567,1863,1730,2710,205,225/75 R16,80,2600,5,170,11.2/6.9/8.5,nan,nan,2497,Турбонаддув,4,4,19.3,nan,DOHC
6 710 745 ₽,2025,18 км,40 080 ₽ / год,Левый,Не требует ремонта,1 владелец,Hyundai,2.5,334,Автомат,Гибридный,АИ-95,Полный,nan,nan,Южная Корея,E,"7, 9",5060,1980,1805,2970,nan,"245/60 R18, 245/50 R20",72,nan,6,nan,nan,nan,nan,2497,Турбонаддув,4,4,10.5,Smartstream G2.5T Hybrid,DOHC
1 025 000 ₽,2010,232 000 км,7 650 ₽ / год,Левый,Не требует ремонта,3 или более,Mitsubishi,2.4,170,Вариатор,Бензиновый,АИ-95,Полный,10.8,9.3,Япония,D,5,4665,1800,1680,2670,215,"225/55 R18, 215/70 R16",63,2290,nan,190,12.6/7.5/9.3,Euro 4,nan,2360,нет,4,4,10.5,nan,DOHC
1 837 800 ₽,2022,31 254 км,15 600 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,1.5,307,Автомат,Гибридный,АИ-95,Передний,7.9,15.9,Китай,D,5,4705,1890,1680,2765,nan,235/50 R19,60,nan,1,nan,-/-/0.9,nan,nan,1497,нет,4,4,nan,nan,DOHC
1 400 000 ₽,2012,202 000 км,2 960 ₽ / год,Левый,Не требует ремонта,2 владельца,Toyota,2.0,148,Вариатор,Бензиновый,АИ-95,Полный,11.5,7.6,Япония,C,5,4445,1815,1685,2560,190,225/65 R17,60,2110,nan,185,9.6/6.5/7.6,Euro 4,178,1998,нет,4,4,9.8,1az-fe,DOHC
1 000 000 ₽,2009,301 000 км,7 965 ₽ / год,Левый,Не требует ремонта,3 или более,BMW,2.0,177,Автомат,Дизельный,ДТ,Полный,9.2,7.0,Германия,D,5,4569,1853,1674,2795,201,225/60 R17,67,2265,6,205,8.7/6.0/7.0,nan,nan,1995,Турбонаддув,4,4,16.5,N47D20,DOHC
4 536 069 ₽,2025,18 км,6 510 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,2.0,186,Робот,Бензиновый,АИ-95,Передний,10.5,7.8,Германия,M,7,5346,1976,1781,3180,nan,"235/55 R19, 235/60 R18",74,nan,7,200,9.8/6.2/7.8,Euro 6,nan,1984,Турбонаддув,4,4,9.6,nan,DOHC
1 170 000 ₽,2014,265 000 км,3 150 ₽ / год,Левый,Не требует ремонта,2 владельца,Hyundai,2.0,150,Автомат,Бензиновый,АИ-95,Передний,10.7,7.8,Южная Корея,D,5,4740,1815,1470,2770,140,"205/60 R16, 215/50 R17, 225/45 R17, 225/45 R18",70,2030,6,202,10.6/6.1/7.8,Euro 4,184,1999,нет,4,4,10.3,G4NC,DOHC
4 800 000 ₽,2019,95 000 км,17 608 ₽ / год,Левый,Не требует ремонта,2 владельца,Land,2.0,249,Автомат,Бензиновый,АИ-95,Полный,7.5,7.6,Великобритания,D,5,4803,2032,1665,2874,213-251,235/65 R18,82,2470,8,217,9.1/6.7/7.6,Euro 6,173,1997,Турбонаддув,4,4,10.5,nan,DOHC
